seq	term
c461277_g2	"Posttranslational modification, protein turnover, chaperones"
c453104_g2	"Inorganic ion transport and metabolism"
c481249_g2	"Replication, recombination and repair"
c473331_g7	"Replication, recombination and repair"
c438681_g2	"Signal transduction mechanisms"
c480170_g5	"Posttranslational modification, protein turnover, chaperones"
c476532_g1	"Replication, recombination and repair"
c455894_g1	"Transcription"
c424556_g1	"RNA processing and modification"
c478893_g1	"Signal transduction mechanisms"
c468944_g1	"Signal transduction mechanisms"
c472540_g2	"Transcription"
c478923_g1	"Amino acid transport and metabolism"
c271071_g1	"Signal transduction mechanisms"
c466081_g1	"NA"
c311287_g1	"NA"
c475859_g11	"Cell cycle control, cell division, chromosome partitioning"
c460818_g1	"Replication, recombination and repair"
c452968_g3	"RNA processing and modification"
c462436_g2	"Transcription"
c471045_g5	"Secondary metabolites biosynthesis, transport and catabolism"
c446971_g1	"Signal transduction mechanisms"
c464315_g1	"Carbohydrate transport and metabolism"
c80541_g1	"Translation, ribosomal structure and biogenesis"
c466081_g1	"NA"
c477635_g2	"Energy production and conversion"
c465298_g2	"NA"
c451459_g1	"Translation, ribosomal structure and biogenesis"
c477191_g1	"Amino acid transport and metabolism"
c474282_g1	"Transcription"
c343429_g1	"Replication, recombination and repair"
c476363_g1	"Posttranslational modification, protein turnover, chaperones"
c460736_g1	"Translation, ribosomal structure and biogenesis"
c474291_g1	"Signal transduction mechanisms"
c469247_g1	"Defense mechanisms"
c461324_g1	"Energy production and conversion"
c456489_g1	"Intracellular trafficking, secretion, and vesicular transport"
c473737_g3	"Amino acid transport and metabolism"
c155176_g1	"NA"
c441853_g1	"Cytoskeleton"
c330943_g1	"NA"
c455666_g1	"Lipid transport and metabolism"
c453877_g3	"Chromatin structure and dynamics"
c480226_g3	"Cytoskeleton"
c454381_g1	"Cell cycle control, cell division, chromosome partitioning"
c477223_g1	"Replication, recombination and repair"
c456625_g2	"Signal transduction mechanisms"
c449043_g1	"Carbohydrate transport and metabolism"
c381363_g1	"Translation, ribosomal structure and biogenesis"
c449269_g1	"Nucleotide transport and metabolism"
c480406_g1	"Cell cycle control, cell division, chromosome partitioning"
c478249_g2	"NA"
c473852_g15	"NA"
c56745_g1	"Posttranslational modification, protein turnover, chaperones"
c451023_g1	"Amino acid transport and metabolism"
c465511_g1	"Lipid transport and metabolism"
c409672_g1	"Translation, ribosomal structure and biogenesis"
c434383_g1	"Intracellular trafficking, secretion, and vesicular transport"
c467862_g2	"NA"
c474667_g1	"Signal transduction mechanisms"
c419759_g1	"Transcription"
c471955_g3	"Signal transduction mechanisms"
c480898_g1	"Lipid transport and metabolism"
c445635_g3	"RNA processing and modification"
c365061_g1	"NA"
c478141_g2	"Secondary metabolites biosynthesis, transport and catabolism"
c479638_g1	"Signal transduction mechanisms"
c381711_g1	"Replication, recombination and repair"
c464007_g1	"Signal transduction mechanisms"
c457642_g1	"Signal transduction mechanisms"
c474209_g1	"Replication, recombination and repair"
c480118_g2	"RNA processing and modification"
c470305_g4	"Replication, recombination and repair"
c468843_g1	"RNA processing and modification"
c470907_g5	"Replication, recombination and repair"
c452305_g1	"Intracellular trafficking, secretion, and vesicular transport"
c464404_g1	"Amino acid transport and metabolism"
c476018_g1	"Energy production and conversion"
c763651_g1	"Translation, ribosomal structure and biogenesis"
c449437_g1	"Transcription"
c459867_g1	"Replication, recombination and repair"
c474318_g1	"Replication, recombination and repair"
c471868_g3	"Transcription"
c468145_g1	"Replication, recombination and repair"
c475275_g1	"NA"
c469770_g2	"Posttranslational modification, protein turnover, chaperones"
c458869_g3	"Signal transduction mechanisms"
c481118_g2	"NA"
c446740_g1	"Posttranslational modification, protein turnover, chaperones"
c475940_g1	"Signal transduction mechanisms"
c475872_g6	"Replication, recombination and repair"
c480554_g1	"Energy production and conversion"
c432580_g1	"Replication, recombination and repair"
c476704_g1	"Lipid transport and metabolism"
c167750_g1	"Transcription"
c390413_g1	"Cytoskeleton"
c469197_g1	"Signal transduction mechanisms"
c460829_g1	"Secondary metabolites biosynthesis, transport and catabolism"
c422362_g1	"Energy production and conversion"
c475739_g2	"Signal transduction mechanisms"
c479362_g1	"Lipid transport and metabolism"
c406146_g2	"Intracellular trafficking, secretion, and vesicular transport"
c311492_g1	"Transcription"
c460765_g1	"Replication, recombination and repair"
c390994_g2	"Nucleotide transport and metabolism"
c468240_g1	"Cytoskeleton"
c305397_g1	"Signal transduction mechanisms"
c477419_g1	"Lipid transport and metabolism"
c471558_g1	"Signal transduction mechanisms"
c456625_g2	"Signal transduction mechanisms"
c477931_g7	"Lipid transport and metabolism"
c479822_g2	"Replication, recombination and repair"
c474533_g1	"Signal transduction mechanisms"
c476216_g1	"Lipid transport and metabolism"
c906167_g1	"RNA processing and modification"
c431598_g1	"Posttranslational modification, protein turnover, chaperones"
c472955_g1	"Cytoskeleton"
c472079_g1	"Carbohydrate transport and metabolism"
c462760_g1	"Transcription"
c451468_g1	"Signal transduction mechanisms"
c463779_g1	"Replication, recombination and repair"
c431103_g2	"Translation, ribosomal structure and biogenesis"
c438681_g2	"Signal transduction mechanisms"
c475193_g3	"Replication, recombination and repair"
c470479_g1	"Transcription"
c457306_g1	"Energy production and conversion"
c469463_g5	"NA"
c472825_g1	"Signal transduction mechanisms"
c460666_g1	"Replication, recombination and repair"
c448500_g1	"Posttranslational modification, protein turnover, chaperones"
c425393_g1	"Cytoskeleton"
c463142_g14	"Replication, recombination and repair"
c429694_g1	"Amino acid transport and metabolism"
c465755_g1	"NA"
c471526_g1	"Signal transduction mechanisms"
c473067_g4	"Secondary metabolites biosynthesis, transport and catabolism"
c470684_g1	"Cell cycle control, cell division, chromosome partitioning"
c477559_g1	"Cytoskeleton"
c472900_g4	"Posttranslational modification, protein turnover, chaperones"
c459596_g2	"Cytoskeleton"
c470047_g1	"Signal transduction mechanisms"
c455735_g1	"Signal transduction mechanisms"
c461482_g1	"Lipid transport and metabolism"
c468389_g1	"Nucleotide transport and metabolism"
c470000_g1	"Transcription"
c466671_g1	"Signal transduction mechanisms"
c439155_g3	"NA"
c455143_g1	"Amino acid transport and metabolism"
c420993_g1	"Translation, ribosomal structure and biogenesis"
c482593_g1	"Lipid transport and metabolism"
c474766_g2	"Lipid transport and metabolism"
c473501_g5	"Energy production and conversion"
c381632_g1	"NA"
c476741_g6	"Translation, ribosomal structure and biogenesis"
c479042_g6	"Lipid transport and metabolism"
c479934_g1	"Transcription"
c342265_g1	"Translation, ribosomal structure and biogenesis"
c465553_g1	"Translation, ribosomal structure and biogenesis"
c464674_g1	"NA"
c460538_g1	"Nucleotide transport and metabolism"
c480239_g1	"Energy production and conversion"
c442593_g2	"Signal transduction mechanisms"
c446276_g1	"Signal transduction mechanisms"
c445381_g1	"Secondary metabolites biosynthesis, transport and catabolism"
c464026_g1	"Translation, ribosomal structure and biogenesis"
c478115_g5	"Lipid transport and metabolism"
c480077_g5	"Intracellular trafficking, secretion, and vesicular transport"
c479040_g5	"NA"
c471607_g1	"Replication, recombination and repair"
c456700_g2	"Replication, recombination and repair"
c471760_g1	"Transcription"
c437545_g1	"Cytoskeleton"
c415988_g3	"Signal transduction mechanisms"
c469967_g1	"Carbohydrate transport and metabolism"
c450286_g1	"Replication, recombination and repair"
c476949_g1	"NA"
c465687_g2	"Intracellular trafficking, secretion, and vesicular transport"
c6133_g1	"Intracellular trafficking, secretion, and vesicular transport"
c451490_g3	"Lipid transport and metabolism"
c453912_g1	"Nucleotide transport and metabolism"
c147318_g1	"NA"
c468750_g1	"Amino acid transport and metabolism"
c427006_g1	"RNA processing and modification"
c426700_g1	"Signal transduction mechanisms"
c463852_g1	"Cytoskeleton"
c394839_g1	"Transcription"
c478066_g6	"Energy production and conversion"
c465719_g1	"NA"
c471046_g1	"Replication, recombination and repair"
c422306_g3	"Replication, recombination and repair"
c429904_g1	"Replication, recombination and repair"
c481319_g2	"Replication, recombination and repair"
c448083_g1	"Transcription"
c463490_g2	"Signal transduction mechanisms"
c409966_g1	"Transcription"
c479488_g2	"Signal transduction mechanisms"
c374329_g2	"RNA processing and modification"
c463569_g2	"Cell cycle control, cell division, chromosome partitioning"
c468065_g4	"Replication, recombination and repair"
c475296_g9	"Amino acid transport and metabolism"
c465131_g1	"Replication, recombination and repair"
c469782_g1	"Posttranslational modification, protein turnover, chaperones"
c467389_g3	"Amino acid transport and metabolism"
c478046_g1	"Signal transduction mechanisms"
c476448_g2	"Nucleotide transport and metabolism"
c450482_g2	"Signal transduction mechanisms"
c448479_g1	"Replication, recombination and repair"
c460636_g9	"NA"
c465488_g1	"Transcription"
c461453_g1	"Signal transduction mechanisms"
c481354_g1	"Replication, recombination and repair"
c454079_g1	"Carbohydrate transport and metabolism"
c455397_g1	"NA"
c411125_g1	"Signal transduction mechanisms"
c464011_g4	"NA"
c451359_g1	"NA"
c435773_g1	"Transcription"
c318197_g1	"Transcription"
c474708_g1	"Inorganic ion transport and metabolism"
c458035_g1	"Translation, ribosomal structure and biogenesis"
c461026_g1	"Intracellular trafficking, secretion, and vesicular transport"
c471960_g1	"Lipid transport and metabolism"
c465418_g1	"NA"
c476298_g4	"Transcription"
c435702_g2	"Posttranslational modification, protein turnover, chaperones"
c470691_g1	"Signal transduction mechanisms"
c465450_g1	"NA"
c461881_g1	"Energy production and conversion"
c465728_g1	"Posttranslational modification, protein turnover, chaperones"
c464668_g1	"Chromatin structure and dynamics"
c476656_g4	"Replication, recombination and repair"
c461710_g1	"Lipid transport and metabolism"
c472390_g4	"Amino acid transport and metabolism"
c433699_g1	"Signal transduction mechanisms"
c478429_g1	"Posttranslational modification, protein turnover, chaperones"
c399514_g1	"Cytoskeleton"
c459491_g1	"Intracellular trafficking, secretion, and vesicular transport"
c467705_g3	"Transcription"
c449454_g1	"Chromatin structure and dynamics"
c449260_g1	"Signal transduction mechanisms"
c434646_g1	"NA"
c452506_g1	"Amino acid transport and metabolism"
c473852_g12	"Transcription"
c443770_g1	"NA"
c452202_g2	"Replication, recombination and repair"
c471150_g7	"Lipid transport and metabolism"
c471340_g1	"Transcription"
c422676_g1	"Signal transduction mechanisms"
c479708_g3	"Energy production and conversion"
c454993_g2	"Intracellular trafficking, secretion, and vesicular transport"
c378861_g1	"Inorganic ion transport and metabolism"
c440972_g1	"Signal transduction mechanisms"
c460651_g1	"RNA processing and modification"
c441539_g2	"Signal transduction mechanisms"
c456246_g1	"Inorganic ion transport and metabolism"
c470108_g1	"Extracellular structures"
c469676_g1	"RNA processing and modification"
c477738_g1	"NA"
c473565_g4	"Amino acid transport and metabolism"
c480312_g6	"NA"
c467117_g2	"Signal transduction mechanisms"
c478794_g2	"Amino acid transport and metabolism"
c479646_g2	"Replication, recombination and repair"
c451029_g1	"Posttranslational modification, protein turnover, chaperones"
c442993_g1	"Translation, ribosomal structure and biogenesis"
c460930_g1	"Carbohydrate transport and metabolism"
c446682_g1	"Cytoskeleton"
c467821_g1	"Carbohydrate transport and metabolism"
c453290_g3	"Replication, recombination and repair"
c447617_g1	"Replication, recombination and repair"
c479638_g1	"Signal transduction mechanisms"
c478737_g1	"Carbohydrate transport and metabolism"
c467562_g2	"Amino acid transport and metabolism"
c460492_g2	"Chromatin structure and dynamics"
c480108_g3	"Replication, recombination and repair"
c475882_g3	"Signal transduction mechanisms"
c479387_g1	"Cytoskeleton"
c459551_g2	"Carbohydrate transport and metabolism"
c467721_g1	"Cell cycle control, cell division, chromosome partitioning"
c465928_g2	"Transcription"
c471037_g1	"NA"
c471421_g10	"Amino acid transport and metabolism"
c476773_g1	"Lipid transport and metabolism"
c472112_g7	"NA"
c405267_g1	"Translation, ribosomal structure and biogenesis"
c466965_g1	"Transcription"
c479749_g3	"Amino acid transport and metabolism"
c478519_g1	"Replication, recombination and repair"
c470159_g3	"Signal transduction mechanisms"
c445708_g2	"Secondary metabolites biosynthesis, transport and catabolism"
c455416_g2	"Transcription"
c453327_g1	"Lipid transport and metabolism"
c477549_g1	"Signal transduction mechanisms"
c438204_g1	"Posttranslational modification, protein turnover, chaperones"
c468250_g1	"Replication, recombination and repair"
c471558_g1	"Signal transduction mechanisms"
c471208_g1	"Replication, recombination and repair"
c471665_g1	"Posttranslational modification, protein turnover, chaperones"
c465511_g1	"Lipid transport and metabolism"
c444001_g1	"Lipid transport and metabolism"
c440631_g1	"Signal transduction mechanisms"
c450650_g1	"Posttranslational modification, protein turnover, chaperones"
c475933_g1	"Signal transduction mechanisms"
c438886_g1	"Translation, ribosomal structure and biogenesis"
c470741_g1	"Signal transduction mechanisms"
c404576_g1	"Signal transduction mechanisms"
c399380_g1	"Inorganic ion transport and metabolism"
c420279_g2	"Chromatin structure and dynamics"
c452927_g1	"Cell cycle control, cell division, chromosome partitioning"
c462122_g2	"Signal transduction mechanisms"
c465974_g1	"Intracellular trafficking, secretion, and vesicular transport"
c466696_g2	"Chromatin structure and dynamics"
c466712_g1	"Amino acid transport and metabolism"
c446636_g1	"Intracellular trafficking, secretion, and vesicular transport"
c471045_g5	"Secondary metabolites biosynthesis, transport and catabolism"
c470020_g5	"Cell cycle control, cell division, chromosome partitioning"
c455726_g2	"Signal transduction mechanisms"
c474084_g6	"Posttranslational modification, protein turnover, chaperones"
c477105_g1	"Replication, recombination and repair"
c474970_g2	"Inorganic ion transport and metabolism"
c432603_g1	"Signal transduction mechanisms"
c461874_g1	"Posttranslational modification, protein turnover, chaperones"
c452125_g1	"Transcription"
c477895_g1	"Signal transduction mechanisms"
c479902_g5	"Cell cycle control, cell division, chromosome partitioning"
c472620_g1	"Replication, recombination and repair"
c472911_g1	"NA"
c449778_g1	"Translation, ribosomal structure and biogenesis"
c462026_g2	"Intracellular trafficking, secretion, and vesicular transport"
c480807_g2	"Replication, recombination and repair"
c440860_g2	"Transcription"
c481398_g1	"Signal transduction mechanisms"
c462655_g2	"Transcription"
c288841_g1	"Transcription"
c476298_g4	"Transcription"
c446871_g2	"Nucleotide transport and metabolism"
c478115_g4	"Lipid transport and metabolism"
c474710_g3	"Energy production and conversion"
c481384_g1	"Posttranslational modification, protein turnover, chaperones"
c478855_g1	"NA"
c473741_g1	"Translation, ribosomal structure and biogenesis"
c80572_g1	"RNA processing and modification"
c444548_g1	"Replication, recombination and repair"
c455842_g1	"Cytoskeleton"
c425184_g1	"Inorganic ion transport and metabolism"
c434129_g1	"Cell cycle control, cell division, chromosome partitioning"
c466433_g2	"RNA processing and modification"
c474455_g1	"Cell cycle control, cell division, chromosome partitioning"
c478004_g2	"Replication, recombination and repair"
c464483_g4	"Replication, recombination and repair"
c453877_g3	"Cell wall/membrane/envelope biogenesis"
c457343_g2	"Signal transduction mechanisms"
c475496_g6	"NA"
c461197_g1	"Lipid transport and metabolism"
c466400_g1	"Signal transduction mechanisms"
c456253_g1	"Lipid transport and metabolism"
c479984_g1	"Lipid transport and metabolism"
c472487_g2	"Signal transduction mechanisms"
c467123_g2	"Signal transduction mechanisms"
c471552_g1	"RNA processing and modification"
c454662_g1	"Signal transduction mechanisms"
c471076_g1	"Signal transduction mechanisms"
c471608_g2	"RNA processing and modification"
c355168_g1	"Translation, ribosomal structure and biogenesis"
c336575_g1	"Cytoskeleton"
c298637_g1	"Signal transduction mechanisms"
c478183_g1	"Posttranslational modification, protein turnover, chaperones"
c423939_g1	"RNA processing and modification"
c448826_g1	"Replication, recombination and repair"
c333841_g1	"Posttranslational modification, protein turnover, chaperones"
c475696_g1	"Signal transduction mechanisms"
c468906_g2	"Carbohydrate transport and metabolism"
c476060_g3	"NA"
c335177_g1	"Posttranslational modification, protein turnover, chaperones"
c457863_g1	"Translation, ribosomal structure and biogenesis"
c473889_g1	"Cytoskeleton"
c469591_g1	"NA"
c457246_g1	"Posttranslational modification, protein turnover, chaperones"
c481235_g1	"Amino acid transport and metabolism"
c466998_g9	"Replication, recombination and repair"
c481323_g1	"NA"
c112966_g1	"Energy production and conversion"
c436658_g1	"Replication, recombination and repair"
c468145_g1	"Carbohydrate transport and metabolism"
c443350_g1	"Cytoskeleton"
c464315_g1	"Carbohydrate transport and metabolism"
c471528_g1	"Cell wall/membrane/envelope biogenesis"
c434950_g1	"Transcription"
c480775_g1	"NA"
c478921_g5	"Lipid transport and metabolism"
c466081_g1	"NA"
c473979_g2	"Posttranslational modification, protein turnover, chaperones"
c458571_g2	"Signal transduction mechanisms"
c468388_g1	"Cell wall/membrane/envelope biogenesis"
c447744_g1	"Replication, recombination and repair"
c448410_g1	"Posttranslational modification, protein turnover, chaperones"
c479587_g2	"Replication, recombination and repair"
c472282_g3	"Energy production and conversion"
c464910_g1	"Inorganic ion transport and metabolism"
c471044_g1	"Cell wall/membrane/envelope biogenesis"
c480158_g1	"Posttranslational modification, protein turnover, chaperones"
c479013_g4	"Intracellular trafficking, secretion, and vesicular transport"
c476480_g3	"Signal transduction mechanisms"
c475942_g1	"Transcription"
c471296_g3	"Inorganic ion transport and metabolism"
c463015_g1	"Energy production and conversion"
c337247_g1	"RNA processing and modification"
c472198_g1	"Intracellular trafficking, secretion, and vesicular transport"
c477050_g2	"NA"
c457944_g1	"Replication, recombination and repair"
c439531_g1	"Energy production and conversion"
c461764_g1	"Signal transduction mechanisms"
c476903_g3	"Energy production and conversion"
c288184_g1	"Posttranslational modification, protein turnover, chaperones"
c449269_g1	"Nucleotide transport and metabolism"
c477815_g4	"NA"
c480732_g5	"Amino acid transport and metabolism"
c426354_g1	"Signal transduction mechanisms"
c475027_g1	"Replication, recombination and repair"
c472024_g1	"RNA processing and modification"
c455605_g1	"Replication, recombination and repair"
c440745_g1	"Signal transduction mechanisms"
c465154_g1	"Signal transduction mechanisms"
c478321_g3	"Cytoskeleton"
c480758_g1	"Energy production and conversion"
c466023_g1	"Signal transduction mechanisms"
c479200_g3	"NA"
c330770_g1	"NA"
c462803_g1	"NA"
c475620_g1	"Posttranslational modification, protein turnover, chaperones"
c475127_g1	"Signal transduction mechanisms"
c474604_g1	"Transcription"
c472641_g1	"Translation, ribosomal structure and biogenesis"
c442662_g1	"Amino acid transport and metabolism"
c388866_g1	"RNA processing and modification"
c416838_g1	"Signal transduction mechanisms"
c469591_g1	"NA"
c474954_g1	"Extracellular structures"
c478687_g1	"Lipid transport and metabolism"
c476993_g1	"Replication, recombination and repair"
c478519_g2	"Replication, recombination and repair"
c476180_g8	"Posttranslational modification, protein turnover, chaperones"
c448042_g2	"Transcription"
c466360_g1	"Translation, ribosomal structure and biogenesis"
c418159_g1	"Transcription"
c466864_g3	"Secondary metabolites biosynthesis, transport and catabolism"
c464855_g2	"Intracellular trafficking, secretion, and vesicular transport"
c462885_g1	"Translation, ribosomal structure and biogenesis"
c478078_g6	"NA"
c457208_g2	"Signal transduction mechanisms"
c473621_g5	"Cell wall/membrane/envelope biogenesis"
c475507_g1	"Signal transduction mechanisms"
c480993_g1	"Carbohydrate transport and metabolism"
c467869_g2	"NA"
c440936_g1	"Signal transduction mechanisms"
c470629_g1	"Transcription"
c458408_g1	"Inorganic ion transport and metabolism"
c472720_g1	"NA"
c406522_g1	"NA"
c476119_g1	"Signal transduction mechanisms"
c479620_g1	"Transcription"
c479385_g2	"NA"
c479253_g3	"Carbohydrate transport and metabolism"
c474895_g1	"Energy production and conversion"
c477194_g2	"RNA processing and modification"
c476993_g1	"Nucleotide transport and metabolism"
c476158_g4	"Translation, ribosomal structure and biogenesis"
c469524_g1	"Signal transduction mechanisms"
c468015_g5	"Replication, recombination and repair"
c293438_g1	"Energy production and conversion"
c479098_g2	"Replication, recombination and repair"
c476295_g1	"Energy production and conversion"
c381930_g1	"Amino acid transport and metabolism"
c460695_g1	"NA"
c477805_g1	"Signal transduction mechanisms"
c446719_g2	"Posttranslational modification, protein turnover, chaperones"
c435603_g1	"Signal transduction mechanisms"
c425923_g1	"Signal transduction mechanisms"
c479747_g3	"Posttranslational modification, protein turnover, chaperones"
c471045_g5	"Secondary metabolites biosynthesis, transport and catabolism"
c318197_g1	"Transcription"
c442024_g1	"Posttranslational modification, protein turnover, chaperones"
c476807_g1	"Transcription"
c147580_g1	"Translation, ribosomal structure and biogenesis"
c432762_g1	"Replication, recombination and repair"
c470981_g7	"Lipid transport and metabolism"
c478019_g3	"Energy production and conversion"
c471373_g1	"Posttranslational modification, protein turnover, chaperones"
c449110_g1	"Secondary metabolites biosynthesis, transport and catabolism"
c453177_g1	"Translation, ribosomal structure and biogenesis"
c467328_g2	"Signal transduction mechanisms"
c477956_g2	"NA"
c429319_g1	"Posttranslational modification, protein turnover, chaperones"
c470305_g4	"Amino acid transport and metabolism"
c465728_g1	"Posttranslational modification, protein turnover, chaperones"
c479273_g2	"Replication, recombination and repair"
c471360_g4	"Replication, recombination and repair"
c471705_g1	"Signal transduction mechanisms"
c445073_g1	"NA"
c457689_g1	"Cell wall/membrane/envelope biogenesis"
c438779_g1	"RNA processing and modification"
c478184_g1	"Secondary metabolites biosynthesis, transport and catabolism"
c471558_g1	"Signal transduction mechanisms"
c424175_g1	"Posttranslational modification, protein turnover, chaperones"
c476243_g2	"Energy production and conversion"
c479638_g1	"Signal transduction mechanisms"
c458172_g1	"Lipid transport and metabolism"
c460691_g1	"Signal transduction mechanisms"
c449378_g1	"NA"
c458610_g1	"Posttranslational modification, protein turnover, chaperones"
c471079_g1	"Signal transduction mechanisms"
c477223_g2	"Replication, recombination and repair"
c480812_g2	"Replication, recombination and repair"
c461836_g1	"Lipid transport and metabolism"
c469753_g2	"Transcription"
c460879_g2	"Amino acid transport and metabolism"
c479860_g1	"Replication, recombination and repair"
c428331_g1	"Lipid transport and metabolism"
c411582_g1	"Transcription"
c475408_g4	"Signal transduction mechanisms"
c476737_g1	"Transcription"
c478368_g1	"Energy production and conversion"
c470540_g1	"NA"
c436603_g1	"Cytoskeleton"
c441344_g1	"Transcription"
c479038_g1	"Signal transduction mechanisms"
c472745_g1	"Transcription"
c460518_g3	"NA"
c479749_g3	"Amino acid transport and metabolism"
c447205_g1	"Posttranslational modification, protein turnover, chaperones"
c237499_g1	"NA"
c447723_g3	"Signal transduction mechanisms"
c477284_g2	"RNA processing and modification"
c405087_g1	"Cytoskeleton"
c461045_g1	"Posttranslational modification, protein turnover, chaperones"
c480036_g2	"Posttranslational modification, protein turnover, chaperones"
c473850_g2	"Translation, ribosomal structure and biogenesis"
c477762_g2	"Energy production and conversion"
c398488_g1	"Replication, recombination and repair"
c461488_g1	"Posttranslational modification, protein turnover, chaperones"
c472955_g1	"Cytoskeleton"
c452682_g2	"RNA processing and modification"
c469949_g4	"Translation, ribosomal structure and biogenesis"
c466433_g2	"RNA processing and modification"
c473979_g2	"Posttranslational modification, protein turnover, chaperones"
c474956_g2	"Energy production and conversion"
c480640_g5	"Transcription"
c465412_g2	"Posttranslational modification, protein turnover, chaperones"
c366476_g1	"Transcription"
c429966_g1	"Cell cycle control, cell division, chromosome partitioning"
c477779_g1	"Translation, ribosomal structure and biogenesis"
c474412_g4	"NA"
c475554_g1	"Signal transduction mechanisms"
c455582_g1	"Inorganic ion transport and metabolism"
c400552_g1	"Translation, ribosomal structure and biogenesis"
c424187_g1	"Posttranslational modification, protein turnover, chaperones"
c476003_g6	"Signal transduction mechanisms"
c462059_g5	"Translation, ribosomal structure and biogenesis"
c463160_g2	"Replication, recombination and repair"
c477763_g1	"Coenzyme transport and metabolism"
c469669_g1	"Signal transduction mechanisms"
c465704_g1	"Lipid transport and metabolism"
c452665_g1	"Lipid transport and metabolism"
c472420_g1	"Lipid transport and metabolism"
c478150_g3	"Replication, recombination and repair"
c481240_g1	"Replication, recombination and repair"
c475606_g2	"Transcription"
c452682_g1	"RNA processing and modification"
c446099_g1	"Amino acid transport and metabolism"
c458408_g1	"Inorganic ion transport and metabolism"
c335051_g2	"NA"
c453083_g1	"Energy production and conversion"
c459035_g1	"Secondary metabolites biosynthesis, transport and catabolism"
c462855_g3	"Signal transduction mechanisms"
c466081_g1	"NA"
c405396_g1	"Replication, recombination and repair"
c444346_g1	"NA"
c479933_g2	"Transcription"
c471449_g1	"Carbohydrate transport and metabolism"
c460623_g1	"Carbohydrate transport and metabolism"
c478538_g7	"Cell cycle control, cell division, chromosome partitioning"
c464586_g1	"Defense mechanisms"
c478872_g3	"Amino acid transport and metabolism"
c448754_g1	"Intracellular trafficking, secretion, and vesicular transport"
c454748_g1	"Intracellular trafficking, secretion, and vesicular transport"
c440379_g1	"NA"
c468912_g2	"Replication, recombination and repair"
c476904_g1	"Secondary metabolites biosynthesis, transport and catabolism"
c480104_g2	"Intracellular trafficking, secretion, and vesicular transport"
c432727_g1	"Lipid transport and metabolism"
c463779_g1	"Replication, recombination and repair"
c344815_g1	"Energy production and conversion"
c473569_g1	"Carbohydrate transport and metabolism"
c479921_g5	"Replication, recombination and repair"
c435746_g1	"Transcription"
c472234_g1	"Transcription"
c455495_g2	"Replication, recombination and repair"
c269028_g1	"RNA processing and modification"
c365178_g1	"Replication, recombination and repair"
c425552_g1	"Replication, recombination and repair"
c466733_g4	"Cytoskeleton"
c472223_g2	"Replication, recombination and repair"
c371758_g1	"Signal transduction mechanisms"
c457069_g1	"Posttranslational modification, protein turnover, chaperones"
c467641_g1	"Transcription"
c476018_g1	"Energy production and conversion"
c472330_g4	"NA"
c474816_g1	"Signal transduction mechanisms"
c442229_g1	"Replication, recombination and repair"
c481384_g1	"Posttranslational modification, protein turnover, chaperones"
c450938_g1	"RNA processing and modification"
c478203_g8	"Replication, recombination and repair"
c429672_g1	"Signal transduction mechanisms"
c480299_g1	"Energy production and conversion"
c465332_g1	"Energy production and conversion"
c457367_g1	"NA"
c463024_g1	"Energy production and conversion"
c451798_g1	"Carbohydrate transport and metabolism"
c475288_g2	"NA"
c477641_g4	"Signal transduction mechanisms"
c451456_g1	"Replication, recombination and repair"
c476895_g1	"NA"
c478346_g6	"NA"
c453877_g3	"Transcription"
c404970_g1	"Transcription"
c463198_g1	"Inorganic ion transport and metabolism"
c479385_g2	"NA"
c444701_g1	"Signal transduction mechanisms"
c458259_g2	"Transcription"
c469442_g1	"Coenzyme transport and metabolism"
c457943_g5	"NA"
c407739_g1	"Coenzyme transport and metabolism"
c409208_g1	"Coenzyme transport and metabolism"
c459944_g1	"Signal transduction mechanisms"
c458610_g1	"Posttranslational modification, protein turnover, chaperones"
c469698_g1	"Transcription"
c424378_g1	"Transcription"
c326072_g1	"Nucleotide transport and metabolism"
c477155_g3	"Translation, ribosomal structure and biogenesis"
c446457_g1	"Replication, recombination and repair"
c472487_g2	"Signal transduction mechanisms"
c437545_g1	"Cytoskeleton"
c478843_g1	"Chromatin structure and dynamics"
c460829_g1	"Secondary metabolites biosynthesis, transport and catabolism"
c454463_g1	"Signal transduction mechanisms"
c365042_g2	"Amino acid transport and metabolism"
c449378_g1	"NA"
c473653_g1	"Energy production and conversion"
c435260_g1	"Translation, ribosomal structure and biogenesis"
c446505_g3	"Amino acid transport and metabolism"
c457106_g1	"Cell cycle control, cell division, chromosome partitioning"
c467213_g1	"Lipid transport and metabolism"
c477579_g1	"Inorganic ion transport and metabolism"
c472419_g1	"Carbohydrate transport and metabolism"
c463142_g14	"Replication, recombination and repair"
c476590_g3	"Posttranslational modification, protein turnover, chaperones"
c431091_g1	"Signal transduction mechanisms"
c428917_g1	"Posttranslational modification, protein turnover, chaperones"
c353464_g1	"Intracellular trafficking, secretion, and vesicular transport"
c437318_g4	"Energy production and conversion"
c460586_g1	"Cell wall/membrane/envelope biogenesis"
c465040_g1	"Energy production and conversion"
c438941_g1	"Lipid transport and metabolism"
c454189_g1	"Signal transduction mechanisms"
c397869_g1	"Replication, recombination and repair"
c406505_g1	"Carbohydrate transport and metabolism"
c480247_g1	"Signal transduction mechanisms"
c471457_g2	"Transcription"
c467439_g1	"Cell wall/membrane/envelope biogenesis"
c440745_g1	"Signal transduction mechanisms"
c471362_g1	"Replication, recombination and repair"
