Biological process term,pval,direction
20/39 positive regulation of DNA recombination,0.00209578,1
16/71 positive regulation of exocytosis,2.40E-06,0
52/192 negative regulation of growth,0.002066802,0
58/135 positive regulation of mitotic cell cycle,0.002952425,1
8/36 positive regulation of muscle contraction,0.004666513,0
8/28 positive regulation of calcium ion-dependent exocytosis,0.001943043,0
12/36 negative regulation of muscle contraction,2.81E-06,0
10/32 negative regulation of embryonic development,0.002963897,0
19/45 guanosine-containing compound metabolic process,0.001052096,1
12/25 nucleobase biosynthetic process,0.000421046,1
35/90 nucleoside metabolic process,0.002353028,1
15/33 nucleoside biosynthetic process,0.001791209,1
18/46 phenol-containing compound biosynthetic process,0.000149843,0
57/227 regulation of stress-activated protein kinase signaling cascade,0.005672706,0
31/101 regulation of receptor signaling pathway via STAT,9.55E-10,0
10/43 negative regulation of receptor signaling pathway via STAT,0.000766776,0
16/53 positive regulation of receptor signaling pathway via STAT,0.000179193,0
28/98 membrane lipid biosynthetic process,1.87E-06,1
73/207 phospholipid biosynthetic process,1.32E-05,1
23/67 regulation of centrosome cycle,0.003240631,1
17/51 regulation of alpha-beta T cell activation,0.00190338,0
9/26 negative regulation of alpha-beta T cell activation,0.005570505,0
73/216 response to antibiotic,0.000803989,0
3/16 muscle cell cellular homeostasis,0.009367368,0
28/74 regulation of nucleocytoplasmic transport,0.003535796,1
8/18 regulation of nucleobase-containing compound transport,0.00763381,1
13/40 bone remodeling,0.000856906,0
16/57 regulation of tissue remodeling,0.008962368,0
16/52 hormone transport,0.001957683,0
70/215 regulation of hormone secretion,7.72E-06,0
26/110 positive regulation of hormone secretion,1.66E-05,0
17/54 negative regulation of hormone secretion,0.002598786,0
395/1560 establishment of localization in cell,0.000149843,1
50/153 regulation of neurotransmitter transport,6.28E-07,0
10/27 fatty-acyl-CoA metabolic process,0.003689437,1
10/55 ephrin receptor signaling pathway,0.001167598,0
"6/11 mating behavior, sex discrimination",0.001891831,0
24/67 embryonic eye morphogenesis,2.79E-05,0
47/136 regulation of synaptic plasticity,3.71E-07,0
5/20 extracellular matrix assembly,0.005457833,0
18/48 response to pain,3.56E-06,0
35/100 cell maturation,7.93E-06,0
5/11 replication fork protection,0.003677965,1
8/24 maintenance of animal organ identity,0.001973456,0
377/1216 animal organ development,1.10E-08,0
45/139 embryonic organ morphogenesis,0.002955203,0
42/140 sensory organ morphogenesis,0.00089047,0
141/489 embryonic morphogenesis,2.09E-12,0
85/324 regulation of developmental growth,0.00439283,0
28/110 negative regulation of developmental growth,0.000418534,0
249/851 anatomical structure formation involved in morphogenesis,1.00E-15,0
53/153 neuron development,0.000542464,0
7/16 generation of neurons,0.003782838,0
137/455 tissue morphogenesis,6.87E-12,0
185/658 system development,2.87E-06,0
54/158 morphogenesis of a branching structure,0.003136379,0
29/89 mesenchymal cell differentiation,0.000106778,0
17/70 tissue remodeling,0.000149843,0
6/16 calcium ion-regulated exocytosis of neurotransmitter,0.007634629,0
68/285 cell part morphogenesis,0.002694078,0
44/173 regulation of dendrite development,0.005374603,0
25/75 stem cell differentiation,0.000165808,0
428/1292 homeostatic process,0.000257582,0
19/50 regulation of catecholamine secretion,3.80E-07,0
64/221 nucleobase-containing compound transport,2.74E-10,1
103/357 regulation of peptide secretion,9.96E-07,0
50/207 positive regulation of peptide secretion,1.30E-06,0
57/194 regulation of inflammatory response,0.001846494,0
22/81 negative regulation of inflammatory response,0.007927697,0
19/67 positive regulation of inflammatory response,8.00E-05,0
33/127 regulation of peptidyl-tyrosine phosphorylation,0.00022968,0
16/49 negative regulation of peptidyl-tyrosine phosphorylation,0.002080841,0
17/60 regulation of phagocytosis,0.00626174,0
279/1003 regulation of nervous system development,1.72E-13,0
95/325 negative regulation of nervous system development,2.27E-09,0
47/192 regulation of axonogenesis,7.56E-05,0
15/74 negative regulation of cell morphogenesis involved in differentiation,6.70E-05,0
34/108 negative regulation of immune response,0.00093528,0
383/1401 regulation of catalytic activity,0.003689437,0
22/76 regulation of behavior,0.00089477,0
52/164 regulation of peptide hormone secretion,0.001920978,0
114/388 regulation of trans-synaptic signaling,2.99E-13,0
22/78 negative regulation of synaptic transmission,0.002473173,0
44/125 positive regulation of synaptic transmission,8.08E-07,0
77/279 regulation of synapse organization,3.43E-05,0
47/210 synapse organization,0.000273501,0
12/35 regulation of antigen receptor-mediated signaling pathway,0.005817415,0
7/16 positive regulation of antigen receptor-mediated signaling pathway,0.00324712,0
45/161 regulation of body fluid levels,0.000349251,0
10/37 neuromuscular process controlling posture,0.002167327,0
15/46 neuromuscular process controlling balance,0.000418534,0
33/84 leukocyte migration,4.47E-06,0
26/77 neuromuscular process,4.79E-06,0
21/89 detection of stimulus involved in sensory perception,1.66E-05,0
20/82 positive regulation of chemotaxis,0.004104062,0
11/31 detection of mechanical stimulus involved in sensory perception of pain,0.000605549,0
7/36 detection of chemical stimulus involved in sensory perception,0.00209755,0
18/57 detection of mechanical stimulus involved in sensory perception,0.001999452,0
5/10 detection of mechanical stimulus involved in sensory perception of touch,0.005374603,0
37/122 detection of mechanical stimulus,1.87E-06,0
5/11 chiasma assembly,0.000873683,1
80/321 positive regulation of secretion,9.66E-12,0
46/153 negative regulation of secretion,7.63E-05,0
390/1393 regulation of transport,1.00E-15,0
184/699 positive regulation of transport,2.61E-11,0
85/313 negative regulation of transport,0.00160683,0
134/342 regulation of DNA metabolic process,2.20E-14,1
47/126 negative regulation of DNA metabolic process,1.65E-09,1
76/185 positive regulation of DNA metabolic process,2.87E-09,1
93/321 regulation of DNA-binding transcription factor activity,1.75E-05,0
54/195 positive regulation of DNA-binding transcription factor activity,4.99E-05,0
7/14 regulation of helicase activity,0.000384867,1
96/342 positive regulation of establishment of protein localization,0.006136941,0
29/77 spindle assembly,0.000264594,1
63/203 maintenance of location,0.005386112,0
425/1456 positive regulation of multicellular organismal process,1.00E-15,0
241/823 negative regulation of multicellular organismal process,1.01E-15,0
151/514 protein complex oligomerization,7.64E-05,0
96/327 protein homooligomerization,2.16E-06,0
150/359 chromosome organization,1.00E-15,1
210/598 cell division,1.96E-09,1
18/44 chromosome localization,0.000771957,1
39/87 meiotic cell cycle,2.44E-06,1
43/154 response to calcium ion,0.00190338,0
60/263 detection of stimulus,6.01E-08,0
308/1066 multi-organism process,4.61E-08,0
231/805 response to biotic stimulus,2.09E-12,0
325/958 regulation of cell cycle,8.45E-09,1
31/121 regulation of protein kinase B signaling,0.002332845,0
19/77 positive regulation of protein kinase B signaling,3.15E-05,0
44/144 regulation of calcium ion transport,0.001274429,0
33/87 regulation of amine transport,2.14E-06,0
6/19 negative regulation of amine transport,0.000426874,0
156/549 positive regulation of nervous system development,1.34E-05,0
44/151 regulation of synapse assembly,0.000171715,0
27/87 positive regulation of synapse assembly,0.000227691,0
"26/70 regulation of synaptic transmission, glutamatergic",8.99E-06,0
"16/37 positive regulation of synaptic transmission, glutamatergic",0.002628767,0
11/33 regulation of transmission of nerve impulse,0.000117759,0
6/11 positive regulation of transmission of nerve impulse,0.002538424,0
11/42 regulation of telomerase activity,0.003430395,1
25/60 cyclic nucleotide metabolic process,0.005947772,0
122/403 oxidation-reduction process,0.001346125,1
15/66 regulation of striated muscle contraction,0.001084655,0
13/47 convergent extension,0.000833319,0
14/47 striated muscle contraction,0.007996233,0
28/77 non-canonical Wnt signaling pathway,9.76E-07,0
16/45 regulation of postsynaptic membrane potential,0.001084655,0
7/19 inhibitory postsynaptic potential,0.00775646,0
35/86 inner ear receptor cell stereocilium organization,0.000242313,0
22/48 cilium-dependent cell motility,8.03E-07,1
11/33 cilium movement involved in cell motility,0.006924121,1
11/47 face morphogenesis,0.008963627,0
14/38 regulation of response to interferon-gamma,0.000217027,0
10/37 trabecula formation,0.006401327,0
12/47 bone morphogenesis,0.000896977,0
34/97 response to ammonium ion,0.000269714,0
16/41 innervation,1.68E-06,0
72/237 epithelium development,1.06E-07,0
8/15 axonemal central apparatus assembly,0.003970992,1
23/71 cartilage morphogenesis,2.28E-10,0
26/118 developmental growth involved in morphogenesis,0.007927697,0
100/414 regulation of vesicle-mediated transport,9.83E-07,0
6/17 ectodermal placode formation,0.004806406,0
22/104 regulation of response to wounding,0.003429231,0
25/72 meiosis I cell cycle process,5.68E-09,1
18/38 positive regulation of chromosome segregation,8.74E-07,1
36/96 protein-DNA complex assembly,1.63E-06,1
21/75 regulation of biomineral tissue development,3.83E-06,0
27/53 chromosome organization involved in meiotic cell cycle,2.06E-09,1
35/69 axonemal dynein complex assembly,0.000120448,1
4/10 hepatocyte differentiation,0.003372885,1
55/199 regulation of ERK1 and ERK2 cascade,0.000320438,0
4/12 regulation of uterine smooth muscle contraction,0.003521041,0
51/161 calcium ion transmembrane transport,0.009819783,0
167/652 organelle assembly,5.51E-09,1
11/27 histone mRNA metabolic process,0.002132797,1
56/145 DNA conformation change,8.74E-07,1
7/31 protein K48-linked deubiquitination,0.007829591,1
12/18 protein localization to chromatin,3.58E-05,1
26/79 response to retinoic acid,0.001302013,0
394/1274 cellular response to chemical stimulus,1.23E-09,0
75/248 cellular response to lipid,2.83E-06,0
89/287 cellular response to organic cyclic compound,0.002956787,0
11/24 cellular response to histamine,0.002538424,0
50/159 cellular response to radiation,0.001092378,1
162/567 cellular response to endogenous stimulus,0.000210801,0
15/45 ribonucleoside bisphosphate biosynthetic process,0.000424785,1
45/168 developmental maturation,0.000113511,0
16/62 membrane assembly,0.009960886,0
49/146 protein-DNA complex subunit organization,4.29E-09,1
15/40 adrenergic receptor signaling pathway,1.41E-07,0
42/96 DNA biosynthetic process,0.000153388,1
100/386 regulation of protein serine/threonine kinase activity,9.01E-06,0
73/287 regulation of MAP kinase activity,4.42E-06,0
3/12 regulation of protein localization to chromatin,0.008057698,1
33/82 kidney epithelium development,1.21E-06,0
13/28 renal tubule development,0.001845326,0
29/81 stem cell proliferation,8.62E-05,0
16/49 regulation of stem cell proliferation,0.002298108,0
23/60 mesonephric epithelium development,9.12E-05,0
28/64 regulation of kidney development,0.001290295,0
8/12 metanephric nephron tubule development,0.000554099,0
6/13 tricarboxylic acid metabolic process,0.008197974,1
14/50 signal transduction involved in DNA damage checkpoint,0.004532747,1
7/17 signal transduction involved in G2 DNA damage checkpoint,0.001686733,1
28/78 pyrimidine-containing compound metabolic process,0.00450704,1
80/301 establishment of protein localization to organelle,0.008180623,1
11/40 protein localization to mitochondrion,0.000172571,1
8/13 response to antimetabolite,0.00034367,1
9/26 mRNA modification,0.000300966,1
299/1036 regulation of response to stress,0.001804928,0
124/449 regulation of anatomical structure size,5.94E-10,0
9/25 relaxation of muscle,0.003569916,0
18/46 regulation of inclusion body assembly,1.75E-08,0
236/825 regulation of protein localization,0.002792633,0
66/208 negative regulation of Wnt signaling pathway,7.69E-11,0
44/153 negative regulation of cellular response to growth factor stimulus,6.96E-06,0
23/62 cochlea morphogenesis,3.08E-06,0
7/15 epithelial cell-cell adhesion,0.003781804,0
38/127 regulation of morphogenesis of an epithelium,9.75E-07,0
11/39 negative regulation of fatty acid transport,0.000860718,0
19/78 positive regulation of peptide hormone secretion,0.00012404,0
78/258 regulation of cellular response to growth factor stimulus,2.12E-05,0
16/45 mitotic spindle assembly,0.007418513,1
45/84 regulation of DNA-dependent DNA replication,3.20E-08,1
11/18 cellular senescence,0.000554099,1
161/452 organophosphate biosynthetic process,6.76E-08,1
11/12 telomeric loop disassembly,0.003079482,1
3/11 posterior midgut development,0.005808998,0
5/27 postsynaptic membrane organization,0.004386956,0
7/42 presynaptic membrane organization,0.001686733,0
5/22 self proteolysis,0.008057698,0
51/146 response to alcohol,5.46E-06,0
26/78 cellular response to alcohol,4.99E-05,0
101/366 supramolecular fiber organization,0.003876902,0
5/10 double-strand break repair via alternative nonhomologous end joining,0.006865532,1
67/213 regulation of tube size,1.04E-12,0
23/69 positive regulation of blood vessel diameter,0.001686733,0
198/635 defense response,9.01E-13,0
5/22 cellular response to virus,0.002473173,0
148/494 cell-cell adhesion,1.00E-15,0
148/465 inorganic ion transmembrane transport,7.93E-07,0
21/46 nuclear chromosome segregation,6.48E-07,1
41/119 signal release,0.000116927,0
14/34 negative regulation of animal organ morphogenesis,2.45E-05,0
34/88 organelle fission,9.42E-07,1
10/30 regulation of long-term synaptic potentiation,0.003781804,0
7/27 regulation of glutamate receptor signaling pathway,0.008075621,0
14/45 positive regulation of potassium ion transport,0.000272726,0
236/812 carbohydrate derivative metabolic process,3.91E-07,1
117/406 carbohydrate derivative biosynthetic process,0.000502165,1
25/107 regulation of NIK/NF-kappaB signaling,6.37E-05,0
297/997 response to oxygen-containing compound,4.61E-08,0
170/599 cellular response to oxygen-containing compound,0.004153809,0
10/19 regulation of mitotic spindle checkpoint,0.004288966,1
121/318 regulation of cell cycle phase transition,1.82E-10,1
52/137 negative regulation of cell cycle phase transition,4.94E-09,1
341/1400 regulation of intracellular signal transduction,2.61E-11,0
213/793 positive regulation of intracellular signal transduction,6.94E-15,0
22/49 negative regulation of cell cycle G2/M phase transition,1.06E-06,1
12/56 negative regulation of response to wounding,5.15E-05,0
78/185 meiotic cell cycle process,1.01E-15,1
186/559 mitotic cell cycle process,9.08E-12,1
37/106 regulation of protein localization to cell periphery,0.006680271,0
26/92 regulation of calcium ion transmembrane transport,0.002871336,0
14/45 positive regulation of regulated secretory pathway,2.80E-05,0
8/31 regulation of synaptic vesicle recycling,0.00833455,0
12/43 regulation of TORC1 signaling,0.000610059,1
63/200 regulation of blood circulation,4.64E-13,0
29/94 positive regulation of blood circulation,8.28E-09,0
187/635 regulation of secretion,1.00E-15,0
2/18 regulation of exosomal secretion,0.005643911,0
6/14 positive regulation of voltage-gated potassium channel activity,0.002754696,0
6/19 regulation of dendrite extension,0.003689437,0
46/194 regulation of cation transmembrane transport,2.11E-06,0
11/37 regulation of telomere capping,0.000208212,1
8/17 negative regulation of telomere capping,0.000856906,1
11/29 response to amyloid-beta,0.000655491,0
11/16 regulation of ubiquitin protein ligase activity,2.62E-05,1
8/24 regulation of epithelial tube formation,0.000624848,0
46/147 regulation of protein localization to membrane,0.000454844,0
30/93 positive regulation of protein localization to membrane,0.001049555,0
10/62 non-motile cilium assembly,0.000409152,1
20/58 negative regulation of lipid localization,2.70E-05,0
22/49 mitochondrial transmembrane transport,4.25E-06,1
544/1858 regulation of multicellular organismal development,1.00E-15,0
55/191 regulation of animal organ morphogenesis,4.95E-08,0
12/29 negative regulation of double-strand break repair via homologous recombination,0.000689553,1
18/65 regulation of non-canonical Wnt signaling pathway,0.001509091,0
12/38 negative regulation of non-canonical Wnt signaling pathway,0.001205781,0
18/48 negative regulation of DNA replication,8.99E-06,1
28/108 regulation of neural precursor cell proliferation,0.000157759,0
44/162 regulation of regulated secretory pathway,7.33E-08,0
6/24 positive regulation of excitatory postsynaptic potential,0.009010792,0
27/89 regulation of DNA biosynthetic process,0.000435261,1
27/76 regulation of double-strand break repair,0.000421741,1
6/13 regulation of steroid hormone secretion,0.001861235,0
74/209 regulation of response to DNA damage stimulus,5.14E-05,1
23/72 negative regulation of response to DNA damage stimulus,0.001048371,1
26/89 regulation of response to drug,0.001475942,0
31/116 regulation of extrinsic apoptotic signaling pathway,0.002704632,0
22/66 positive regulation of extrinsic apoptotic signaling pathway,0.000300966,0
17/48 regulation of extrinsic apoptotic signaling pathway in absence of ligand,0.000405083,0
53/126 negative regulation of chromosome organization,5.50E-13,1
68/182 positive regulation of chromosome organization,8.29E-12,1
216/701 unknown,0.000193563,1
